layer_name,prompt,timestep_index,num_same_pairs,num_different_pairs,mean_same_identity_cosine_distance,mean_different_identity_cosine_distance,mean_same_identity_euclidean_distance,mean_different_identity_euclidean_distance,identity_separation,identity_auc,best_verification_threshold,best_verification_accuracy,equal_error_rate
unet.down_blocks.0,add headphones,3,45,945,0.0015395058525933159,0.0016668992067770984,0.04519854113459587,0.04837485739478359,0.00012739335418378251,0.5440681951793063,3.0279159545898438e-05,0.9555555555555556,0.4888888888888889
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,add headphones,6,45,945,0.0017252498202853734,0.0018517832907419356,0.046005318427665365,0.0487656886285299,0.00012653347045656223,0.5286654908877131,1.342432403564453e-05,0.9545454545454546,0.44920634920634916
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,add black sunglasses,6,45,945,0.001720094680786133,0.0018459263302031017,0.04593808985211783,0.048684254230527337,0.00012583164941696885,0.5283597883597884,1.2947486877441406e-05,0.9545454545454546,0.4497354497354497
unet.down_blocks.0,add black sunglasses,3,45,945,0.001537656784057617,0.001663297383242814,0.04514588021362821,0.048326579720846245,0.0001256405991851969,0.5445972957084069,3.039836883544922e-05,0.9555555555555556,0.4888888888888889
unet.up_blocks.0,add headphones,6,45,945,0.0011183566517300077,0.0012436061309128211,0.03963789101690054,0.04321704208949413,0.00012524947918281346,0.5606466784244563,3.916025161743164e-05,0.9555555555555556,0.46931216931216935
unet.up_blocks.0,add black sunglasses,6,45,945,0.001008213890923394,0.0011181482562312374,0.037874868222408827,0.041220276185838636,0.00010993436530784334,0.560352733686067,4.9114227294921875e-05,0.9555555555555556,0.4714285714285714
unet.down_blocks.0,add headphones,14,45,945,0.001386759016248915,0.0014956306528162073,0.041856647469103336,0.04489083484002443,0.00010887163656729234,0.5402469135802469,7.165836334228516e-06,0.9545454545454546,0.4444444444444444
unet.down_blocks.0,add black sunglasses,14,45,945,0.0013807005352444118,0.0014892659490070646,0.04175850787303514,0.04478860847977182,0.00010856541376265275,0.5402469135802469,7.106231689453125e-06,0.9545454545454546,0.4444444444444444
unet.up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,add black sunglasses,3,45,945,0.0015130758285522461,0.0016192337823292566,0.04525077898676197,0.047914172910528366,0.00010615795377701045,0.5346149323927102,2.3305416107177734e-05,0.9555555555555556,0.4888888888888889
unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,add black sunglasses,3,45,945,0.001218814320034451,0.0013216152392997943,0.04110169612492124,0.043563359862479265,0.00010280091926534343,0.5370370370370371,3.170967102050781e-05,0.9565656565656566,0.4915343915343915
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,add headphones,3,45,945,0.0016604291068183052,0.0017631124567102502,0.04684462584555149,0.04944730708424849,0.00010268334989194496,0.5375896531452087,5.239248275756836e-05,0.9565656565656566,0.49417989417989416
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,add black sunglasses,3,45,945,0.00164160860909356,0.0017427325879455244,0.04665984989454349,0.049306586913015475,0.00010112397885196438,0.5381540270429159,4.655122756958008e-05,0.9565656565656566,0.4894179894179894
unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,add headphones,3,45,945,0.002061053117116292,0.002159663987538171,0.0505157173714704,0.05333517100859098,9.861087042187895e-05,0.5340152851263963,3.202097320556641e-05,0.9545454545454546,0.4888888888888889
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,add headphones,6,45,945,0.0012636860211690268,0.0013608636679472747,0.03993043871596456,0.042590378168181925,9.717764677824787e-05,0.5347795414462081,1.2649463653564453e-05,0.9545454545454546,0.4476190476190476
unet.up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,add headphones,3,45,945,0.001464256975385878,0.0015612935893750065,0.04454076312896278,0.04705641087115048,9.703661398912863e-05,0.5333333333333333,2.3199485778808593e-05,0.9545454545454546,0.4920634920634921
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,add black sunglasses,6,45,945,0.0012609415584140353,0.001357731617316998,0.03989219509272112,0.04253226145658465,9.679005890296261e-05,0.534074074074074,1.2709068298339843e-05,0.9545454545454546,0.44920634920634916
unet.up_blocks.2,add headphones,3,45,945,0.00117773347430759,0.0012734653457762703,0.03998174570086929,0.04230038031206402,9.573187146868036e-05,0.5324750146972369,2.3603439331054688e-05,0.9565656565656566,0.4888888888888889
